CAS Number,Name,Formula,Type,UNIFAC,MW,SG6060,TB,Tc,Pc,Vc,OMEGA,CPA,CPB,CPC,CPD,CPE,HFORM25,GFORM25,GIBBSA,GIBBSB,GIBBSC
109-77-3,MaloNitrile,C3H2N2       ,Misc,,66.06240082,1.0675,491.500,715.000,40.400,0.248,0.5016,0.41301,0.0024866,-5.8305E-07,-8.3204E-10,4.19245E-13,265.50,281.00,2.66E+02,4.99E-02,6.33E-06
109-78-4,Hyd-CNitrile,C3H5NO       ,Misc,CH2 OH CH2CN ,71.07879639,1.0488,494.150,690.000,48.900,0.243,0.8265,0.086525,0.004555,-3.2421E-06,1.10576E-09,-1.3983E-13,-98.30,-35.40,-9.81E+01,2.04E-01,2.21E-05
109-79-5,nBMercaptan,C4H10S       ,MISC,CH2SH (CH2)2 CH3 ,90.18900299,0.8467,371.609,567.000,39.700,0.307,0.2784,0.197386,0.00423568,-1.7715E-06,2.58257E-10,2.05044E-20,-88.07,11.05,-8.36E+01,2.92E-01,8.23E-05
109-83-1,MethylEAmine,C3H9NO       ,Misc,(CH2)2 OH CH3NH ,75.11060333,0.9432,431.148,630.000,52.200,0.253,0.5855,-0.148825,0.0064349,-5.11185E-06,2.39052E-09,-5.1535E-13,-198.00,-61.10,-1.98E+02,4.47E-01,4.03E-05
109-86-4,M-Cellosolve,C3H8O2       ,MISC,CH3 CH2O CH2 OH ,76.09500122,0.9713,397.549,562.000,50.100,0.242,0.7311,0.154515,0.00453718,-2.31216E-06,3.833E-10,2.19733E-14,-432.00,-319.00,-4.32E+02,3.70E-01,3.78E-05
109-87-5,Methylal,C3H8O2       ,Misc,CH2 (CH3O)2 ,76.09600067,0.8668,315.000,480.600,39.500,0.213,0.2860,0.345959,0.001359546,8.14041E-06,-1.24405E-08,5.3359E-12,-348.10,-226.31,-3.48E+02,3.64E-01,4.16E-05
109-89-7,diEthylamine,C4H11N       ,AMINE,(CH3)2 CH2 CH2NH ,73.13890076,0.7077,328.600,496.500,37.100,0.301,0.2910,0.027896,0.00606098,-2.9866E-06,4.99768E-10,0,-72.43,73.00,-7.54E+01,4.81E-01,3.96E-05
109-92-2,Vinyl-E-Ethe,C4H8O        ,Misc,CH3 CH2=CH CH2O ,72.10700226,0.7927,308.700,475.000,40.700,0.257,0.2680,0.2398,0.00449074,-2.04131E-06,2.9835E-10,0,-140.29,-51.83,-1.40E+02,3.42E-01,3.64E-05
109-93-3,diVinyl-Ethe,C4H6O        ,Misc,,70.09100342,0.7430,301.450,462.000,42.500,0.250,0.2911,0.083941,0.004607,-2.64596E-06,5.82364E-10,0,-14.00,40.62,-3.28E+01,-3.28E+01,-3.28E+01
109-94-4,E-Formate,C3H6O2       ,ES,CH3 CH2 HCOO ,74.08000183,0.9298,327.500,508.500,47.300,0.229,0.2850,0.33324,0.00312832,-2.86364E-07,-7.23864E-10,0,-371.49,-303.00,-3.71E+02,4.66E-01,2.66E-05
109-97-7,Pyrrole,C4H5N        ,Misc,CH=CH CH CHNH ,67.09100342,0.9744,401.997,639.799,72.500,0.224,0.3442,-0.21475,0.005302,-3.11499E-06,7.03616E-10,0,108.39,160.30,1.08E+02,8.27E-01,2.24E-05
109-99-9,TetraHyFuran,C4H8O        ,Misc,FCH2O (CH2)3 ,72.10700226,0.8898,337.000,540.098,51.900,0.224,0.2169,0.26505,0.0071635,-5.7342E-06,2.01768E-09,0,-184.29,-79.57,-1.86E+02,-2.61E-01,-5.35E-06
110-00-9,Furan,C4H4O        ,Misc,,68.07460022,0.9389,304.500,490.200,55.000,0.218,0.2090,-0.52209,0.0063516,-5.07867E-06,1.57871E-09,0,-34.70,0.94,-3.60E+01,1.18E-01,1.70E-05
110-01-0,Thiolane,C4H8S        ,MISC,(CH2)3 CH2S ,88.1740036,1.0051,394.269,631.950,51.600,0.249,0.1988,-0.0851623,0.0043606,-1.67631E-06,-3.41819E-10,2.69519E-13,-33.76,46.02,-3.37E+01,2.68E-01,0.00E+00
1100-10-3,44-2N3PhAmin,C18H13N3O4   ,Misc,,335.3190002,1.3290,743.000,946.000,20.000,0.929,1.0900,-0.086816,0.0044072,-2.73129E-06,4.9124E-10,7.1255E-14,298.00,,2.97E+02,1.01E+00,4.15E-05
110-02-1,Thiophene,C4H4S        ,MISC,C4H4S ,84.13600159,1.0610,357.200,579.400,56.700,0.219,0.1960,-0.36405,0.005326,-4.4862E-06,1.49023E-09,0,115.79,126.10,1.19E+02,1.25E-02,4.91E-05
110-05-4,DitBPeroxide,C8H18O2      ,Misc,,146.2290039,0.7993,384.148,547.000,24.800,0.508,0.4031,-0.0544793,0.0065717,-4.85526E-06,1.92678E-09,-3.40504E-13,-341.00,-63.40,-3.41E+02,9.12E-01,6.55E-05
110-12-3,5-M-2-C6one,C7H14O       ,Misc,(CH3)2 (CH2)2 CH CH3CO ,114.1880035,0.8169,417.950,601.000,29.600,0.421,0.4344,0.0155962,0.00580174,-3.32649E-06,7.4952E-10,0,-303.99,-122.00,-3.03E+02,5.87E-01,5.81E-05
110-15-6,SuccinicAcid,C4H6O4       ,Misc,(CH2)2 (COOH)2 ,118.0889969,1.4067,591.000,806.000,47.100,0.317,0.9922,0.127687,0.00397336,-2.6633E-06,6.72616E-10,0,-822.90,-697.00,-8.23E+02,3.90E-01,2.08E-05
110-16-7,MaleicAcid,C4H4O4       ,Misc,CH=CH (COOH)2 ,116.0690002,0.8753,411.000,562.000,49.800,0.297,0.9861,0.105607,0.00365324,-2.68151E-06,7.82512E-10,0,-675.78,-586.09,-6.76E+02,1.66E-01,1.67E-05
110-17-8,FumaricAcid,C4H4O4       ,Misc,CH=CH (COOH)2 ,116.0690002,1.0745,563.150,770.000,49.800,0.297,0.9887,0.455929,0.0032774,-2.34627E-06,6.51316E-10,0,-671.93,-582.16,-6.73E+02,1.64E-01,-6.32E-06
110-18-9,Tet-M-E=DiAm,C6H16N2      ,Misc,(CH2N)2 (CH3)4 ,116.2070007,0.7790,394.150,569.000,28.200,0.443,0.3915,-0.37074,0.0078132,-5.7621E-06,2.0782E-09,-2.63435E-13,-19.72,,-2.04E+01,8.30E-01,6.11E-05
110-19-0,i-B-Acetate,C6H12O2      ,ACID,(CH3)2 CH2 CH CH3COO ,116.1600037,0.8797,389.700,562.000,30.100,0.414,0.4550,0.0629695,0.0049447,-2.21903E-06,9.48444E-11,0,-495.49,-322.00,-4.95E+02,5.96E-01,4.90E-05
110-27-0,iC3Myristate,C17H34O2     ,MISC,CH (CH2)11 CH3 CH2COO ,270.4559937,0.8566,588.000,738.000,14.000,0.969,0.9364,-0.32304,0.0079728,-7.1352E-06,3.62604E-09,-7.8335E-13,-732.80,,-7.33E+02,1.61E+00,1.24E-04
110-33-8,DiHxAdipate,C18H34O4     ,Misc,(CH2)12 (CH3)2 (CH2COO)2 ,314.4660034,0.9413,621.150,767.000,13.200,1.050,1.0935,-0.24322,0.00666916,-6.22476E-06,3.2564E-09,-7.1403E-13,-1020.00,-474.00,-1.02E+00,1.76E+00,1.88E-04
110-42-9,M-Caprate,C11H22O2     ,Misc,CH3 (CH2)8 CH3COO ,186.2940063,0.8738,505.130,682.000,22.500,0.592,0.6590,0.098221303,0.005335878,-2.57658E-06,3.36029E-10,0,-587.65,,-5.87E+02,1.04E+00,8.58E-05
110-43-0,M-Pentyl-one,C7H14O       ,Misc,CH3 (CH2)4 CH3CO ,114.1880035,0.7218,424.200,611.500,34.200,0.420,0.4830,0.430399,0.0041623,-1.27336E-06,-1.17549E-10,0,-300.39,-121.80,-2.99E+02,5.81E-01,5.83E-05
110-45-2,iPentylForma,C6H12O2      ,ACID,(CH3)2 (CH2)2 CH HCOO ,116.1600037,0.8828,396.700,577.000,30.500,0.413,0.3841,-0.237499,0.00678396,-5.46516E-06,1.83028E-09,0,-390.25,-279.80,-3.90E+02,5.99E-01,4.77E-05
110-53-2,1-BromoC5,C5H11Br      ,Misc,(CH2)4 CH3 Br ,151.0590057,1.2240,402.700,564.799,37.700,0.377,0.3840,0.00830133,0.00350098,-2.15675E-06,5.40948E-10,3.88305E-21,-129.16,-5.73,-1.53E+02,4.72E-01,2.80E-05
110-54-3,n-Hexane,C6H14        ,PN,(CH3)2 (CH2)4 ,86.17790222,0.6633,341.880,507.898,30.316,0.368,0.3007,-0.096697,0.00695298,-3.9636E-06,1.00946E-09,-6.7333E-14,-167.29,0.15,-1.70E+02,5.54E-01,5.03E-05
110-56-5,14ClC4,C4H8Cl2      ,Misc,(CH2Cl)2 (CH2)2 ,127.0130005,1.1467,427.049,641.000,36.100,0.343,0.3221,-0.0241471,0.00420078,-3.76899E-06,1.9284E-09,-4.2352E-13,-179.00,-65.90,-1.77E+02,3.57E-01,5.59E-05
110-57-6,14Cltrns2C4=,C4H6Cl2      ,Misc,(CH2Cl)2 CH=CH ,124.9970016,1.1992,429.260,646.000,37.800,0.330,0.3333,0.036938,0.00364518,-3.37368E-06,1.75581E-09,-3.84731E-13,-66.20,9.72,-6.44E+01,2.34E-01,4.90E-05
110-58-7,Pentylamine,C5H13N       ,Misc,CH3 (CH2)3 CH2NH2 ,87.16500092,0.7597,377.648,555.000,35.700,0.365,0.4070,0.0568358,0.0060822,-0.000003147,6.06836E-10,0,-112.80,60.13,-1.12E+02,5.54E-01,5.47E-05
110-59-8,ValeroNitril,C5H9N        ,Misc,CH2CN (CH2)2 CH3 ,83.1332016,0.8036,414.450,602.000,32.600,0.331,0.4152,0.20619,0.004962,-2.62724E-06,5.2968E-10,0,11.46,114.74,1.19E+01,3.67E-01,3.54E-05
110-61-2,SuccinoNitri,C4H4N2       ,Misc,(CH2CN)2 ,80.08920288,0.9892,540.150,770.000,35.200,0.300,0.5585,0.15442,0.0042737,-3.17013E-06,9.64756E-10,0,209.69,254.01,2.10E+02,1.28E-01,1.34E-05
110-62-3,n-Pentanal,C5H10O       ,KET,CH3 (CH2)3 CHO ,86.13400269,0.8138,376.000,552.000,35.200,0.333,0.4000,0.16542,0.00502918,-2.44776E-06,3.67332E-10,0,-227.99,-108.28,-2.30E+02,3.97E-01,3.55E-05
110-63-4,14-C4diol,C4H10O2      ,Misc,(CH2)4 (OH)2 ,90.12220001,1.0184,501.148,667.000,48.700,0.297,1.1892,0.0539553,0.0053122,-3.30486E-06,8.4086E-10,0,-426.70,-277.72,-4.26E+02,4.41E-01,4.49E-05
110-65-6,2C4#14Diol,C4H6O2       ,ES,(CH2)2 (OH)2 C-=C ,86.0904007,1.0299,511.148,695.000,58.600,0.256,1.1343,0.337592,0.003419,-1.49804E-06,-1.45078E-10,2.18639E-13,-155.00,-77.00,-1.54E+02,2.51E-01,2.73E-05
110-66-7,1Pentanthiol,C5H12S       ,MISC,CH2SH (CH2)3 CH3 ,104.2160034,0.8469,399.790,597.000,34.700,0.359,0.3211,0.183635,0.00451722,-2.0439E-06,4.45732E-10,-8.1085E-14,-109.79,19.37,-1.03E+02,3.84E-01,9.26E-05
110-67-8,3MtoxyC3Nitr,C4H7NO       ,Misc,CH2 CH3O CH2CN ,85.10540009,0.9448,438.148,638.000,36.300,0.324,0.4597,0.118624,0.0045639,-2.66528E-06,6.19272E-10,-2.77024E-14,-79.00,14.70,-7.89E+01,3.05E-01,2.90E-05
110-68-9,B-M-Amine,C5H13N       ,Misc,CH3NH (CH2)3 CH3 ,87.16970062,0.7040,364.250,537.000,33.200,0.357,0.3497,-0.0328918,0.00636766,-3.40503E-06,6.74568E-10,0,-93.06,,-9.28E+01,5.65E-01,5.48E-05
110-71-4,12Methoxy-C2,C4H10O2      ,Misc,(CH2)2 (CH3O)2 ,90.1230011,0.8698,357.000,536.000,38.700,0.271,0.3580,0.35785,0.00396054,-1.48337E-06,9.32552E-11,0,-346.00,-198.16,-3.45E+02,3.83E-01,4.52E-05
110-74-7,n-P-Formate,C4H8O2       ,ACID,CH3 (CH2)2 HCOO ,88.10700226,0.9110,354.100,537.000,40.600,0.285,0.3140,0.430399,0.0041623,-1.27336E-06,-1.17549E-10,0,-404.37,-293.50,-4.06E+02,6.17E-01,6.31E-06
110-77-0,EThioEthanol,C4H10OS      ,Misc,(CH2)3 OH CH2S ,106.189003,1.0202,456.648,641.000,43.200,0.325,0.7310,0.201832,0.00395916,-1.89942E-06,4.5224E-10,-4.90552E-14,-234.00,,-2.34E+02,3.80E-01,4.23E-05
110-80-5,Cellosolve,C4H10O2      ,Misc,CH3 CH2O (CH2)2 OH ,90.12200165,0.9356,408.148,567.000,42.300,0.294,0.7591,0.00656671,0.00538,-3.25764E-06,8.5966E-10,-7.06E-14,-400.00,-256.00,-4.00E+02,4.69E-01,4.49E-05
110-81-6,diE-diSulphd,C4H10S2      ,MISC,(CH2S)2 (CH3)2 ,122.2440033,0.9979,427.100,642.000,35.000,0.472,0.2740,0.220187,0.00376624,-2.21828E-06,4.88668E-10,0,-74.69,22.26,-6.84E+01,2.74E-01,1.02E-04
110-82-7,Cyclohexane,C6H12        ,N,(CH2)6 ,84.16000366,0.7825,353.880,553.200,40.530,0.308,0.2133,-0.64805,0.0072635,-2.99785E-06,1.56961E-10,-1.2908E-22,-123.19,32.26,-1.28E+02,5.20E-01,4.47E-05
110-83-8,CC6=,C6H10        ,OD,(CH2)4 CH=CH ,82.145401,0.8156,356.118,560.400,43.500,0.291,0.2142,0.158319,0.00274214,4.91859E-06,-6.64188E-09,2.2019E-12,-5.36,106.90,-5.06E+00,3.61E-01,4.89E-05
110-85-0,Piperazine,C4H10N2      ,Misc,(CH2)2 (CH2NH)2 ,86.13690186,0.6664,419.148,638.000,55.300,0.310,0.4138,-0.692593,0.00882874,-6.85014E-06,2.04553E-09,-1.03706E-13,22.30,185.00,2.08E+01,5.42E-01,2.95E-05
110-86-1,Pyridine,C5H5N        ,NI,C5H5N ,79.10160065,0.9897,388.398,620.000,56.200,0.254,0.2430,-0.284243,0.00517012,-2.86646E-06,2.76347E-10,1.7565E-13,140.29,190.55,1.38E+02,1.67E-01,2.01E-05
110-88-3,Trioxane,C3H6O3       ,Misc,(CH2O)3 ,90.07839966,1.1758,387.648,604.000,58.200,0.224,0.3337,0.101478,0.0025031,1.93387E-06,-3.34218E-09,1.15263E-12,-465.90,-337.22,-4.66E+02,4.23E-01,3.29E-05
1108-89-4,4-methylpyridine (4-picoline),C6H7N,MISC,,93.128,,418.490,645.700,46.600,0.326,0.3050,0.348529508,0.000383525,1.07683E-05,-1.50732E-08,6.19747E-12,102.13,182.08,,,
110-89-4,Piperidine,C5H11N       ,Misc,(CH2)4 CH2NH ,85.15000153,0.8668,379.600,592.000,47.600,0.289,0.2510,-0.62341,0.0073907,-3.94623E-06,7.55264E-10,0,-49.03,102.00,-4.99E+01,7.75E-01,4.68E-05
110-91-8,Morpholine,C4H9NO       ,MISC,MORPH ,87.12200165,1.0009,401.398,617.000,54.700,0.253,0.3700,-0.491259,0.00618438,-3.06003E-06,4.81948E-10,-4.10135E-22,-155.00,16.00,-1.56E+02,5.66E-01,4.05E-05
110-94-1,GluraricAcid,C5H8O4       ,Misc,(CH2)3 (COOH)2 ,132.1150055,1.2104,595.539,807.000,40.400,0.363,0.9590,-0.0698748,0.00604796,-7.73151E-06,5.9196E-09,-1.90749E-12,-844.00,-690.00,-8.44E+02,5.09E-01,2.76E-05
110-96-3,di-iB-Amine,C8H19N       ,Misc,(CH3)4 CH2 (CH)2 CH2NH ,129.2460022,0.7407,412.799,584.400,27.100,0.524,0.5480,-0.1644,0.00708466,-4.22343E-06,2.29536E-09,0,-165.54,88.20,-1.70E+02,8.96E-01,3.98E-05
110-97-4,DIsoPAmine,C6H15NO2     ,Misc,CHNH CH (CH2)2 (CH3)2 (OH)2 ,133.1900024,0.9999,521.900,672.400,37.700,0.415,0.9800,0.211628,0.00544274,-3.30249E-06,1.41181E-09,0,-428.72,-215.00,-4.31E+02,8.03E-01,2.85E-05
110-99-6,DiGlycolicA,C4H6O5       ,Misc,CH2 CH2O (COOH)2 ,134.0890045,1.5741,610.000,820.000,44.200,0.331,1.0806,0.057317,0.0042494,-3.6708E-06,1.66556E-09,-3.17455E-13,-945.00,-800.00,-9.45E+02,4.81E-01,2.24E-05
111-01-3,SQUALANE,C30H62       ,PN,(CH)6 (CH2)16 (CH3)8 ,422.821991,0.8106,720.000,863.000,8.680,1.640,0.9153,-0.30615,0.0080178,-0.000006054,2.51136E-09,-4.4737E-13,-693.30,,-6.93E+02,2.88E+00,2.32E-04
111-11-5,M-Caprylate,C9H18O2      ,Misc,CH3 (CH2)6 CH3COO ,158.2400055,0.8783,466.850,647.000,25.500,0.511,0.5620,0.127123358,0.005081143,-2.3458E-06,2.45197E-10,0,-546.37,,-5.46E+02,8.52E-01,7.13E-05
111-13-7,2-Octanone,C8H16O       ,Misc,(CH2)5 CH3 CH3CO ,128.2140045,0.8243,446.150,632.700,26.400,0.497,0.4549,0.54215,0.0030196,2.09406E-06,-3.58216E-09,1.1776E-12,-321.60,-113.80,-3.21E+02,6.74E-01,6.58E-05
111-14-8,n-C7oicAcid,C7H14O2      ,ES,(CH2)5 CH3 COOH ,130.1869965,0.9233,496.150,677.300,30.430,0.468,0.7564,0.095832,0.005294,-3.1269E-06,8.5584E-10,-1.17455E-13,-536.20,-332.00,-5.36E+02,6.61E-01,5.45E-05
111-15-9,2EtxyEC2oate,C6H12O3      ,Misc,CH3 (CH2)2 CH3COO CH2O ,132.1580048,0.9803,429.450,597.000,24.600,0.459,0.5332,-0.319512,0.00693286,-6.67092E-06,3.61021E-09,-8.46495E-13,-611.00,-422.00,-6.11E+02,6.20E-01,4.85E-05
111-16-0,PimelicAcid,C7H12O4      ,Misc,(CH2)5 (COOH)2 ,160.1690063,1.2080,615.250,805.000,31.400,0.469,1.1158,0.116543,0.0048417,-3.68247E-06,1.50069E-09,-2.73943E-13,-885.00,,-8.85E+02,6.99E-01,4.17E-05
1111-74-6,DMSilane,C2H8Si       ,Misc,(CH3)2 SIH2 ,60.17100143,0.5920,253.550,401.997,35.600,0.258,0.1322,0.464178,0.00364766,2.75048E-07,-2.0951E-09,7.87385E-13,-94.70,-19.58,-9.47E+01,2.52E-01,0.00E+00
111-20-6,Sebacic_Acid,C10H18O4     ,Misc,(CH2)8 (COOH)2 ,202.2510071,1.1324,642.090,815.000,23.500,0.658,1.2053,0.086575,0.0052066,-3.6669E-06,1.32628E-09,-2.045E-13,-921.90,-623.00,-9.22E+02,9.84E-01,6.36E-05
1112-39-6,DC1DC1oxSila,C4H12O2Si    ,Misc,SIO (CH3)3 CH3O ,120.223999,0.8688,354.550,524.000,26.600,0.441,0.2629,0.023305,0.0048308,-2.7021E-06,5.5192E-10,2.43585E-15,-684.10,,-6.84E+02,5.67E-01,0.00E+00
111-26-2,Hexylamine,C6H15N       ,Misc,CH3 (CH2)4 CH2NH2 ,101.1920013,0.7688,404.648,582.000,31.800,0.418,0.4671,0.36169,0.00483864,-1.59918E-06,1.9095E-11,0,-132.99,66.30,-1.32E+02,6.46E-01,6.28E-05
111-27-3,1-Hexanol,C6H14O       ,OL,CH3 (CH2)5 OH ,102.177002,0.8237,430.200,611.000,34.700,0.381,0.5600,0.047113,0.0057693,-2.94778E-06,5.31372E-10,0,-317.79,-134.13,-3.23E+02,6.03E-01,5.12E-05
111-29-5,15-C5diol,C5H12O2      ,Misc,(CH2)5 (OH)2 ,104.1490021,1.0029,512.150,672.000,41.500,0.345,1.2199,0.0516565,0.00538864,-3.19272E-06,7.53724E-10,0,-448.99,-275.00,-4.48E+02,5.41E-01,5.30E-05
111-30-8,Glutaldehyde,C5H8O2       ,Misc,(CH2)2 (CHO)2 ,100.1169968,1.0192,461.150,660.000,35.900,0.347,0.5373,0.40868,0.0036812,-2.09136E-06,7.3364E-10,-1.75675E-13,-307.70,,-3.07E+02,3.38E-01,3.20E-05
111-31-9,1Hexanethiol,C6H14S       ,MISC,CH2SH CH3 (CH2)4 ,118.2360001,0.8470,425.799,622.000,30.100,0.426,0.3720,0.131106,0.00486596,-2.32052E-06,4.24116E-10,-6.6453E-22,-128.99,27.82,-1.24E+02,4.77E-01,1.03E-04
111-34-2,Vinyl-B-Ethe,C6H12O       ,Misc,CH3 (CH2)2 CH2=CH CH2O ,100.1610031,0.7840,366.970,536.000,31.100,0.364,0.3802,0.0754085,0.00532374,-2.68352E-06,4.6078E-10,0,-182.99,-36.20,-1.82E+02,5.37E-01,5.19E-05
111-36-4,nBIsoCyanate,C5H9NO       ,Misc,,99.13240051,0.8928,388.148,568.000,34.400,0.360,0.4145,0.227345,0.00344174,-2.54475E-07,-1.01172E-09,3.01007E-13,-127.00,1.96,-1.26E+02,4.17E-01,4.61E-05
111-40-0,DiC2=TrAmine,C4H13N3      ,Misc,CH2 (CH2NH2)2 CH2NH ,103.1660004,0.9632,480.250,676.000,42.200,0.342,0.7002,-0.107456,0.00669588,-5.34075E-06,2.44761E-09,-4.98167E-13,-5.86,207.29,-6.11E+00,7.00E-01,5.28E-05
111-41-1,nAminoEC2ol,C4H12N2O     ,Misc,(CH2)2 OH CH2NH2 CH2NH ,104.1520004,1.0350,517.000,698.000,44.600,0.328,1.0473,-0.15411,0.00660248,-5.49123E-06,2.57522E-09,-5.1839E-13,-191.00,3.81,-1.91E+02,6.39E-01,5.01E-05
111-42-2,DEAmine,C4H11NO2     ,MISC,CH2NH (CH2)3 (OH)2 ,105.1380005,1.0960,542.150,715.260,32.729,0.377,1.0467,-0.050743,0.00336824,-2.46345E-06,0,0,-396.80,-214.08,-3.88E+02,5.83E-01,1.45E-04
111-43-3,diP-Ether,C6H14O       ,Misc,(CH3)2 (CH2)3 CH2O ,102.177002,0.7510,363.200,530.598,30.300,0.386,0.3690,0.18235,0.0052248,-2.23775E-06,2.39148E-10,0,-293.09,-105.56,-2.96E+02,6.22E-01,5.09E-05
111-46-6,DEGlycol,C4H10O3      ,MISC,(CH2)3 CH2O (OH)2 ,106.1220016,1.1217,518.150,744.598,46.000,0.312,0.6211,-0.20934,0.00486088,0,0,0,-571.20,-409.00,-5.47E+02,5.45E-01,-6.24E-07
111-47-7,P-Sulphide,C6H14S       ,MISC,CH2S (CH2)3 (CH3)2 ,118.2360001,0.8424,416.000,609.700,31.600,0.426,0.3760,0.14303,0.00461534,-1.82704E-06,2.18706E-10,3.78458E-21,-125.35,33.22,-1.20E+02,4.82E-01,1.05E-04
111-48-8,ThioDiGlycol,C4H10O2S     ,Misc,(CH2)3 (OH)2 CH2S ,122.1880035,1.1891,555.150,731.000,46.100,0.343,1.1764,0.197113,0.00392728,-2.51626E-06,1.17965E-09,-3.2362E-13,-384.00,,-3.84E+02,4.51E-01,4.21E-05
111-49-9,HxC1=imine,C6H13N       ,Misc,(CH2)5 CH2NH ,99.1760025,0.8834,404.850,615.000,42.700,0.361,0.3296,-0.837768,0.00809932,-4.79316E-06,1.06281E-09,0,-34.18,151.38,-3.50E+01,7.49E-01,6.03E-05
111-55-7,EGly-DiAceta,C6H10O4      ,Misc,(CH2)2 (CH3COO)2 ,146.1430054,1.1120,463.648,652.000,30.800,0.416,0.5595,-0.0530384,0.00502224,-3.59955E-06,1.01905E-09,0,-806.98,-631.00,-8.07E+02,6.13E-01,3.87E-05
111-65-9,n-Octane,C8H18        ,PN,(CH3)2 (CH2)6 ,114.2320023,0.7060,398.820,568.598,24.966,0.486,0.4018,-0.2701,0.00799658,-0.000005919,2.49118E-09,-4.69068E-13,-208.59,16.27,-2.13E+02,7.48E-01,6.24E-05
111-66-0,1-Octene,C8H16        ,N,CH3 (CH2)5 CH2=CH ,112.2080002,0.7142,394.398,566.598,26.243,0.464,0.3860,-0.053958,0.006543,-3.8343E-06,1.00642E-09,-6.9998E-14,-82.98,103.20,-8.65E+01,6.21E-01,5.55E-05
111-67-1,cis2-Octene,C8H16        ,N,(CH3)2 (CH2)4 CH=CH ,112.2080002,0.7278,398.799,581.481,27.765,0.464,0.3415,0.128097,0.0056796,-2.05847E-06,0,0,-91.23,,-9.12E+01,6.13E-01,5.71E-05
111-68-2,nC7Amine,C7H17N       ,Misc,(CH2)5 CH3 CH2NH2 ,115.2190018,0.7795,430.049,607.000,28.500,0.471,0.5113,-0.0276162,0.00657412,-4.00419E-06,1.24978E-09,-1.90262E-13,-153.00,75.32,-1.53E+02,7.43E-01,6.95E-05
111-69-3,AdipoNitrile,C6H8N2       ,Misc,(CH2CN)2 (CH2)2 ,108.1380005,0.9681,568.150,770.000,28.300,0.406,0.6723,-0.124798,0.0059896,-4.73175E-06,1.4518E-09,0,149.49,253.31,1.49E+02,3.84E-01,2.55E-05
111-70-6,1-Heptanol,C7H16O       ,Misc,CH3 (CH2)6 OH ,116.2040024,0.8273,449.799,632.000,31.600,0.435,0.5600,0.422436,0.00583674,-2.96826E-06,5.2062E-10,0,-331.99,-119.56,-3.39E+02,7.01E-01,5.71E-05
111-71-7,n-Heptanal,C7H14O       ,Misc,CH3 (CH2)5 CHO ,114.1880035,0.8218,425.950,602.000,27.000,0.421,0.4865,0.3623,0.00446354,-1.56112E-06,5.11344E-11,0,-263.00,-86.65,-2.67E+02,5.90E-01,4.73E-05
111-76-2,B-Cellosolve,C6H14O2      ,Misc,OH (CH2)4 CH2O CH3 ,118.1760025,0.9051,444.470,600.000,32.200,0.400,0.8174,-0.192395,0.00689182,-6.08175E-06,3.37692E-09,-8.89705E-13,-441.00,,-4.41E+02,6.89E-01,5.94E-05
111-77-3,2(2MxEx)Enol,C5H12O3      ,Misc,(CH2)3 OH CH2O CH3O ,120.1480026,1.0281,466.750,630.000,35.400,0.367,0.8707,-0.16722,0.0065376,-6.5988E-06,4.2956E-09,-1.2867E-12,-530.00,-367.00,-5.30E+02,6.28E-01,5.19E-05
111-78-4,15CC8==,C8H12        ,MISC,(CH2)4 (CH=CH)2 ,108.1800003,0.8876,423.269,645.000,39.000,0.366,0.2858,0.0584824,0.00367856,2.86257E-06,-5.01088E-09,1.74149E-12,102.00,245.00,1.02E+02,4.66E-01,4.89E-05
111-82-0,M-Laureate,C13H26O2     ,Misc,CH3 (CH2)10 CH3COO ,214.3470001,1.0482,539.309,712.000,20.250,0.758,0.7560,-0.139593,0.0068706,-5.38416E-06,2.36536E-09,-4.46291E-13,-612.30,-240.00,-6.12E+02,1.22E+00,9.86E-05
111-84-2,n-Nonane,C9H20        ,PN,(CH3)2 (CH2)7 ,128.2590027,0.7209,423.967,594.598,23.001,0.543,0.4455,-0.0652895,0.00680576,-3.76035E-06,8.0382E-10,-1.1188E-22,-229.19,25.00,-2.34E+02,8.45E-01,6.85E-05
111-86-4,nOctylAmine,C8H19N       ,Misc,(CH2)6 CH3 CH2NH2 ,129.2460022,0.7866,452.750,627.000,25.800,0.524,0.5680,-0.0943835,0.00696792,-4.7022E-06,1.70258E-09,-2.59841E-13,-174.00,83.03,-1.74E+02,8.38E-01,7.68E-05
111-87-5,1-Octanol,C8H18O       ,Misc,CH3 (CH2)7 OH ,130.2310028,0.8307,468.299,652.500,28.600,0.490,0.5870,0.0474155,0.005845,-2.91751E-06,4.81216E-10,0,-360.09,-116.59,-3.61E+02,7.98E-01,6.32E-05
111-88-6,1Octanethiol,C8H18S       ,MISC,CH2SH CH3 (CH2)6 ,146.2890015,0.8474,472.299,665.000,25.000,0.538,0.4620,0.08976,0.0052508,-2.65137E-06,5.22208E-10,5.72145E-21,-170.10,44.64,-1.64E+02,6.62E-01,1.24E-04
111-90-0,2(2EyEy)C2ol,C6H14O3      ,Misc,CH3 (CH2)3 OH (CH2O)2 ,134.1750031,0.9943,475.148,632.000,31.400,0.420,0.9009,-0.13713,0.00618798,-4.97271E-06,2.26272E-09,-4.65812E-13,-565.00,-345.00,-5.65E+02,7.20E-01,5.90E-05
